Sample_No,Time,Temperature,Humidity,TGS2620,TGS2610,TGS2602,TGS2603,TGS822,TGS2600,TGS826,MQ138
0,5/12/23 13:27,29.3,39.2,2.86,2.64,0.877,0.107,2.85,0.879,0.108,2.64
0,5/12/23 13:27,29.4,39.1,2.86,2.64,0.877,0.107,2.86,0.878,0.107,2.64
0,5/12/23 13:27,29.7,38.6,2.86,2.64,0.878,0.107,2.86,0.878,0.108,2.64
0,5/12/23 13:27,29.7,38.6,2.86,2.64,0.878,0.107,2.86,0.878,0.107,2.64
0,5/12/23 13:28,29.7,38.6,2.86,2.64,0.878,0.107,2.86,0.877,0.108,2.63
0,5/12/23 13:28,29.7,38.6,2.86,2.63,0.878,0.108,2.86,0.877,0.107,2.64
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.877,0.108,2.86,0.878,0.107,2.63
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.878,0.108,2.86,0.877,0.107,2.63
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.878,0.108,2.86,0.877,0.107,2.64
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.878,0.108,2.86,0.877,0.108,2.64
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.878,0.107,2.86,0.878,0.107,2.63
0,5/12/23 13:28,29.7,38.5,2.86,2.64,0.877,0.107,2.86,0.877,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.86,2.63,0.877,0.108,2.86,0.877,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.86,2.63,0.877,0.108,2.86,0.877,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.86,2.63,0.877,0.108,2.86,0.877,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.107,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.107,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.107,2.85,0.876,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.107,2.85,0.876,0.108,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.107,2.63
0,5/12/23 13:28,29.7,38.4,2.85,2.63,0.876,0.108,2.85,0.876,0.109,2.63
0,5/12/23 13:28,29.8,38.5,2.85,2.63,0.877,0.109,2.85,0.876,0.109,2.63
0,5/12/23 13:28,29.8,38.5,2.84,2.63,0.879,0.11,2.84,0.878,0.109,2.63
0,5/12/23 13:28,29.8,38.5,2.84,2.63,0.882,0.11,2.83,0.882,0.11,2.63
0,5/12/23 13:28,29.8,38.4,2.82,2.63,0.884,0.111,2.82,0.884,0.11,2.63
0,5/12/23 13:28,29.8,38.3,2.82,2.63,0.884,0.11,2.81,0.884,0.11,2.62
