Sample_No,Timestamps,Temperature,Humidity,TGS2620,TGS2610,TGS2602,TGS2603,TGS822,TGS2600,TGS826,MQ138,Acetone_Conc.,Model
0,5/4/23 16:04,23.6,54.5,1.43,0.908,0.35,0.894,1.43,0.35,0.894,0.908,2,0.3547438928
0,5/4/23 16:04,23.6,54.5,1.43,0.908,0.351,0.896,1.43,0.351,0.896,0.907,2,0.3557574468
0,5/4/23 16:04,23.6,54.5,1.43,0.906,0.352,0.897,1.43,0.352,0.897,0.906,2,0.3567710008
0,5/4/23 16:04,23.6,54.5,1.43,0.905,0.352,0.897,1.43,0.352,0.897,0.905,2,0.3567710008
0,5/4/23 16:04,23.6,54.5,1.43,0.905,0.351,0.898,1.43,0.351,0.898,0.905,2,0.3557574468
0,5/4/23 16:04,23.6,54.5,1.43,0.904,0.35,0.898,1.43,0.35,0.898,0.904,2,0.3547438928
0,5/4/23 16:04,23.6,54.5,1.43,0.904,0.349,0.897,1.42,0.349,0.897,0.904,2,0.3537303388
0,5/4/23 16:04,23.6,54.5,1.42,0.903,0.346,0.895,1.42,0.346,0.895,0.903,2,0.3506896769
0,5/4/23 16:04,23.6,54.6,1.42,0.902,0.344,0.893,1.42,0.344,0.893,0.902,2,0.3493023168
0,5/4/23 16:04,23.6,54.6,1.42,0.901,0.344,0.891,1.42,0.344,0.891,0.901,2,0.3493023168
0,5/4/23 16:04,23.6,54.6,1.42,0.9,0.344,0.889,1.42,0.344,0.889,0.9,2,0.3493023168
0,5/4/23 16:04,23.6,54.6,1.42,0.899,0.344,0.888,1.42,0.344,0.888,0.899,2,0.3493023168
0,5/4/23 16:05,23.6,54.6,1.42,0.898,0.345,0.887,1.42,0.345,0.887,0.898,2,0.3503177305
0,5/4/23 16:05,23.6,54.7,1.42,0.897,0.346,0.886,1.42,0.346,0.886,0.897,2,0.3519766115
0,5/4/23 16:05,23.5,54.7,1.42,0.897,0.346,0.885,1.42,0.346,0.885,0.897,2,0.3504851852
0,5/4/23 16:05,23.5,54.7,1.42,0.897,0.345,0.885,1.42,0.345,0.884,0.897,2,0.3494722222
0,5/4/23 16:05,23.5,54.7,1.42,0.897,0.345,0.884,1.42,0.345,0.885,0.897,2,0.3494722222
0,5/4/23 16:05,23.5,54.7,1.42,0.897,0.345,0.884,1.42,0.345,0.884,0.896,2,0.3494722222
0,5/4/23 16:05,23.5,54.8,1.42,0.896,0.345,0.883,1.42,0.345,0.883,0.896,2,0.3501111111
0,5/4/23 16:05,23.5,54.8,1.42,0.896,0.344,0.883,1.42,0.344,0.883,0.896,2,0.3490962963
