Sample_No,Time,Temperature,Humidity,TGS2602,TGS2603,TGS2620,TGS2600,TGS2610,TGS826,TGS822,Acetone_Conc.
0,5/6/2023 17:26,27.8,45.6,0.692,1.1,1.45,0.692,0.726,1.1,1.45,40
0,5/6/2023 17:27,27.8,45.5,0.671,1.1,1.45,0.669,0.726,1.1,1.45,40
0,5/6/2023 17:27,27.8,44.6,0.625,1.1,1.43,0.624,0.725,1.1,1.43,40
0,5/6/2023 17:27,27.8,43.1,0.603,1.09,1.42,0.603,0.721,1.09,1.42,40
0,5/6/2023 17:27,27.8,42.6,0.623,1.08,1.41,0.623,0.718,1.09,1.41,40
0,5/6/2023 17:27,27.8,42.5,0.612,1.09,1.41,0.612,0.718,1.09,1.41,40
0,5/6/2023 17:27,27.8,42.4,0.598,1.11,1.4,0.598,0.715,1.11,1.4,40
0,5/6/2023 17:27,27.8,42.3,0.592,1.12,1.4,0.592,0.713,1.12,1.4,40
0,5/6/2023 17:27,27.7,41.8,0.575,1.11,1.39,0.575,0.71,1.11,1.39,40
0,5/6/2023 17:27,27.7,40.8,0.544,1.09,1.37,0.543,0.706,1.09,1.37,40
0,5/6/2023 17:27,27.6,40.2,0.53,1.07,1.36,0.53,0.704,1.07,1.36,40
0,5/6/2023 17:27,27.6,39.9,0.521,1.06,1.36,0.521,0.702,1.06,1.36,40
0,5/6/2023 17:27,27.6,39.8,0.505,1.04,1.35,0.505,0.699,1.04,1.35,40
0,5/6/2023 17:28,27.5,39.8,0.495,1.04,1.34,0.495,0.697,1.04,1.34,40
0,5/6/2023 17:28,27.5,39.9,0.485,1.03,1.34,0.485,0.695,1.03,1.34,40
0,5/6/2023 17:28,27.4,39.8,0.474,1.01,1.33,0.474,0.692,1.01,1.33,40
0,5/6/2023 17:28,27.3,39.8,0.472,0.999,1.32,0.472,0.689,0.998,1.32,40
0,5/6/2023 17:28,27.2,39.8,0.472,0.99,1.32,0.472,0.686,0.99,1.32,40
0,5/6/2023 17:28,27.2,39.9,0.473,0.984,1.32,0.473,0.684,0.983,1.32,40
0,5/6/2023 17:28,27.2,40,0.474,0.979,1.32,0.474,0.681,0.979,1.32,40
0,5/6/2023 17:28,27.1,40,0.475,0.975,1.31,0.475,0.68,0.975,1.31,40
0,5/6/2023 17:28,27.1,40.2,0.473,0.968,1.31,0.473,0.678,0.968,1.31,40
0,5/6/2023 17:28,27,40.2,0.475,0.963,1.31,0.475,0.676,0.963,1.31,40
0,5/6/2023 17:28,27,40.3,0.477,0.961,1.31,0.477,0.675,0.961,1.31,40
0,5/6/2023 17:28,26.9,40.3,0.484,0.964,1.32,0.484,0.682,0.964,1.32,40
0,5/6/2023 17:29,26.9,40.2,0.486,0.967,1.34,0.485,0.691,0.967,1.34,40
0,5/6/2023 17:29,26.8,40.1,0.467,0.958,1.33,0.466,0.688,0.957,1.33,40
0,5/6/2023 17:29,26.7,40,0.455,0.946,1.32,0.455,0.684,0.946,1.32,40
0,5/6/2023 17:29,26.7,40,0.452,0.939,1.32,0.452,0.684,0.939,1.32,40
0,5/6/2023 17:29,26.6,40.1,0.451,0.933,1.32,0.451,0.683,0.933,1.32,40
0,5/6/2023 17:29,26.6,40.3,0.447,0.925,1.31,0.447,0.68,0.925,1.31,40
