SMOTE Technique,Classifier,Accuracy,F1 Score,ROC AUC
SMOTE,Gradient Boosting,0.7619047619047619,0.8275862068965517,0.7750000000000001
SMOTE,XGBoost,0.6190476190476191,0.7142857142857143,0.6125
SMOTE,Decision Tree,0.6190476190476191,0.7142857142857143,0.6125
SMOTE,FCNN,0.7142857142857143,0.7857142857142857,0.8687500000000001
Borderline-SMOTE,Gradient Boosting,0.6666666666666666,0.7407407407407406,0.7125
Borderline-SMOTE,XGBoost,0.6190476190476191,0.7142857142857143,0.6125
Borderline-SMOTE,Decision Tree,0.8095238095238095,0.8666666666666666,0.8062500000000001
Borderline-SMOTE,FCNN,0.7142857142857143,0.7999999999999999,0.73125
ADASYN,Gradient Boosting,0.7142857142857143,0.7857142857142857,0.74375
ADASYN,XGBoost,0.6666666666666666,0.7586206896551724,0.64375
ADASYN,Decision Tree,0.7142857142857143,0.7857142857142857,0.74375
ADASYN,FCNN,0.5714285714285714,0.6896551724137931,0.625
SVMSMOTE,Gradient Boosting,0.7619047619047619,0.8275862068965517,0.7750000000000001
SVMSMOTE,XGBoost,0.7619047619047619,0.8387096774193549,0.7062499999999999
SVMSMOTE,Decision Tree,0.7619047619047619,0.8387096774193549,0.7062499999999999
SVMSMOTE,FCNN,0.6666666666666666,0.7586206896551724,0.66875
