Model,Accuracy,F1 Score,ROC AUC,K-Fold
DecisionTreeClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,5
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,5
GradientBoostingClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,5
RandomForestClassifier,0.7586206896551724,0.7586206896551724,0.7668269230769231,5
KNeighborsClassifier,0.6896551724137931,0.6836363636363637,0.7115384615384616,5
ElasticNet,0.5517241379310345,0.5495818399044206,0.5649038461538461,5
RidgeClassifier,0.7586206896551724,0.7478260869565216,0.7451923076923077,5
Lasso,0.4827586206896552,0.4802867383512545,0.4951923076923077,5
LogisticRegression,0.7241379310344828,0.7156862745098039,0.7139423076923077,5
XGBClassifier,0.6896551724137931,0.6881720430107527,0.7043269230769231,5
DecisionTreeClassifier,0.7241379310344828,0.7238095238095239,0.7355769230769231,7
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,7
GradientBoostingClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,7
RandomForestClassifier,0.7241379310344828,0.7238095238095239,0.7355769230769231,7
KNeighborsClassifier,0.6896551724137931,0.6836363636363637,0.7115384615384616,7
ElasticNet,0.5517241379310345,0.5495818399044206,0.5649038461538461,7
RidgeClassifier,0.7241379310344828,0.7156862745098039,0.7139423076923077,7
Lasso,0.4827586206896552,0.4802867383512545,0.4951923076923077,7
LogisticRegression,0.7241379310344828,0.7156862745098039,0.7139423076923077,7
XGBClassifier,0.7241379310344828,0.7238095238095239,0.7355769230769231,7
DecisionTreeClassifier,0.6896551724137931,0.6896551724137931,0.6971153846153847,10
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,10
GradientBoostingClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,10
RandomForestClassifier,0.7241379310344828,0.7238095238095239,0.7355769230769231,10
KNeighborsClassifier,0.6896551724137931,0.6836363636363637,0.7115384615384616,10
ElasticNet,0.5517241379310345,0.5495818399044206,0.5649038461538461,10
RidgeClassifier,0.7241379310344828,0.7156862745098039,0.7139423076923077,10
Lasso,0.4827586206896552,0.4802867383512545,0.4951923076923077,10
LogisticRegression,0.7241379310344828,0.7156862745098039,0.7139423076923077,10
XGBClassifier,0.6896551724137931,0.6881720430107527,0.7043269230769231,10
