Model,Accuracy,F1 Score,ROC AUC,K-Fold
DecisionTreeClassifier,0.6896551724137931,0.6881720430107526,0.6899038461538463,5
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,5
GradientBoostingClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,5
RandomForestClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,5
KNeighborsClassifier,0.6551724137931034,0.5684523809523809,0.6153846153846154,5
ElasticNet,0.7241379310344828,0.7238095238095239,0.7355769230769231,5
RidgeClassifier,0.7931034482758621,0.7803030303030304,0.7764423076923077,5
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,5
LogisticRegression,0.6896551724137931,0.675776397515528,0.6754807692307693,5
XGBClassifier,0.6896551724137931,0.6881720430107526,0.6899038461538463,5
DecisionTreeClassifier,0.4482758620689655,0.4423076923076923,0.4423076923076923,7
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,7
GradientBoostingClassifier,0.7586206896551724,0.7586206896551724,0.7668269230769231,7
RandomForestClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,7
KNeighborsClassifier,0.6551724137931034,0.5684523809523809,0.6153846153846154,7
ElasticNet,0.7241379310344828,0.7238095238095239,0.7355769230769231,7
RidgeClassifier,0.7931034482758621,0.7803030303030304,0.7764423076923077,7
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,7
LogisticRegression,0.6896551724137931,0.675776397515528,0.6754807692307693,7
XGBClassifier,0.6206896551724138,0.6188769414575866,0.6201923076923077,7
DecisionTreeClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,10
SVC,0.5172413793103449,0.48737373737373746,0.49759615384615385,10
GradientBoostingClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,10
RandomForestClassifier,0.6896551724137931,0.6896551724137931,0.6971153846153847,10
KNeighborsClassifier,0.6551724137931034,0.5684523809523809,0.6153846153846154,10
ElasticNet,0.7241379310344828,0.7238095238095239,0.7355769230769231,10
RidgeClassifier,0.7931034482758621,0.7803030303030304,0.7764423076923077,10
Lasso,0.6206896551724138,0.6188769414575865,0.6346153846153846,10
LogisticRegression,0.6896551724137931,0.675776397515528,0.6754807692307693,10
XGBClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,10
