Model,Accuracy,F1 Score,ROC AUC,K-Fold
DecisionTreeClassifier,0.6206896551724138,0.6133333333333333,0.6129807692307692,5
SVC,0.5517241379310345,0.5316770186335404,0.5360576923076923,5
GradientBoostingClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,5
RandomForestClassifier,0.6551724137931034,0.6547619047619048,0.6586538461538461,5
KNeighborsClassifier,0.5862068965517241,0.5857142857142859,0.5889423076923077,5
ElasticNet,0.5517241379310345,0.3730355665839536,0.5961538461538461,5
RidgeClassifier,0.8275862068965517,0.8133848133848134,0.8076923076923077,5
Lasso,0.5862068965517241,0.5817307692307692,0.5817307692307692,5
LogisticRegression,0.6896551724137931,0.6881720430107526,0.6899038461538463,5
XGBClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,5
DecisionTreeClassifier,0.6551724137931034,0.6547619047619048,0.6586538461538461,7
SVC,0.5517241379310345,0.5316770186335404,0.5360576923076923,7
GradientBoostingClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,7
RandomForestClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,7
KNeighborsClassifier,0.6206896551724138,0.6188769414575866,0.6201923076923077,7
ElasticNet,0.5517241379310345,0.3730355665839536,0.5961538461538461,7
RidgeClassifier,0.8275862068965517,0.8133848133848134,0.8076923076923077,7
Lasso,0.5862068965517241,0.5817307692307692,0.5817307692307692,7
LogisticRegression,0.6896551724137931,0.6881720430107526,0.6899038461538463,7
XGBClassifier,0.7586206896551724,0.7586206896551724,0.7668269230769231,7
DecisionTreeClassifier,0.7241379310344828,0.7238095238095238,0.7283653846153846,10
SVC,0.5862068965517241,0.5421052631578949,0.5600961538461539,10
GradientBoostingClassifier,0.7931034482758621,0.7908653846153846,0.7908653846153846,10
RandomForestClassifier,0.6896551724137931,0.6896551724137931,0.6971153846153847,10
KNeighborsClassifier,0.5517241379310345,0.5517241379310345,0.5576923076923077,10
ElasticNet,0.5517241379310345,0.3730355665839536,0.5961538461538461,10
RidgeClassifier,0.8275862068965517,0.8198757763975155,0.8149038461538461,10
Lasso,0.5862068965517241,0.5817307692307692,0.5817307692307692,10
LogisticRegression,0.6896551724137931,0.6881720430107526,0.6899038461538463,10
XGBClassifier,0.7586206896551724,0.7539393939393939,0.7524038461538461,10
