Model,Accuracy,F1 Score,ROC AUC,K-Fold
DecisionTreeClassifier,0.896551724137931,0.896551724137931,0.90625,5
SVC,0.5862068965517241,0.5606060606060606,0.5673076923076923,5
GradientBoostingClassifier,0.896551724137931,0.8960573476702509,0.8990384615384616,5
RandomForestClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,5
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,5
ElasticNet,0.6206896551724138,0.34905149051490514,0.6538461538461539,5
RidgeClassifier,0.7586206896551724,0.7387387387387387,0.7379807692307692,5
Lasso,0.6206896551724138,0.29532163742690054,0.6826923076923076,5
LogisticRegression,0.6896551724137931,0.6640926640926641,0.6682692307692308,5
XGBClassifier,0.896551724137931,0.896551724137931,0.90625,5
DecisionTreeClassifier,0.8620689655172413,0.8619047619047618,0.875,7
SVC,0.7241379310344828,0.7211538461538461,0.7211538461538461,7
GradientBoostingClassifier,0.896551724137931,0.8960573476702509,0.8990384615384616,7
RandomForestClassifier,0.7241379310344828,0.7211538461538461,0.7211538461538461,7
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,7
ElasticNet,0.6896551724137931,0.4597402597402598,0.7211538461538461,7
RidgeClassifier,0.7586206896551724,0.7387387387387387,0.7379807692307692,7
Lasso,0.6206896551724138,0.29532163742690054,0.6826923076923076,7
LogisticRegression,0.6896551724137931,0.6640926640926641,0.6682692307692308,7
XGBClassifier,0.8275862068965517,0.8275862068965517,0.8365384615384616,7
DecisionTreeClassifier,0.896551724137931,0.896551724137931,0.90625,10
SVC,0.7241379310344828,0.7211538461538461,0.7211538461538461,10
GradientBoostingClassifier,0.896551724137931,0.8960573476702509,0.8990384615384616,10
RandomForestClassifier,0.7586206896551724,0.7574671445639188,0.7596153846153846,10
KNeighborsClassifier,0.6551724137931034,0.6547619047619049,0.6658653846153846,10
ElasticNet,0.6206896551724138,0.34905149051490514,0.6538461538461539,10
RidgeClassifier,0.7586206896551724,0.7387387387387387,0.7379807692307692,10
Lasso,0.6206896551724138,0.29532163742690054,0.6826923076923076,10
LogisticRegression,0.6896551724137931,0.6640926640926641,0.6682692307692308,10
XGBClassifier,0.8620689655172413,0.8619047619047618,0.875,10
