SMOTE Technique,Classifier,Mean Accuracy,Mean F1 Score,Mean ROC AUC
SMOTE,Gradient Boosting,0.890909091,0.890113872,0.93553719
SMOTE,XGBoost,0.890909091,0.889439088,0.952066116
SMOTE,Decision Tree,0.854545455,0.853864107,0.902479339
SMOTE,DBN,0.5,0.333333333,0.5
Borderline-SMOTE,Gradient Boosting,0.9,0.89933268,0.932231405
Borderline-SMOTE,XGBoost,0.890909091,0.890260592,0.960330579
Borderline-SMOTE,Decision Tree,0.890909091,0.872311312,0.92892562
Borderline-SMOTE,DBN,0.5,0.333333333,0.5
ADASYN,Gradient Boosting,0.9,0.899830604,0.968595041
ADASYN,XGBoost,0.918577075,0.918350273,0.988429752
ADASYN,Decision Tree,0.855731225,0.872588405,0.934504132
ADASYN,DBN,0.504347826,0.335238095,0.463636364
ADASYN,Gradient Boosting - XGBoost,0.945846154,0.945272602,0.981218781
ADASYN,Random Forest - XGBoost,0.919367589,0.911598441,0.947503053
ADASYN,Decision Tree - AdaBoost,0.900790514,0.89982684,0.923025031
,,,,
,,,,
,,,,
,, ,,
