SMOTE Technique,Classifier,Mean Accuracy,Mean F1 Score,Mean ROC Area
SMOTE,Gradient Boosting,0.890909090909091,0.8901138716356108,0.9355371900826446
SMOTE,XGBoost,0.890909090909091,0.8894390874825657,0.9520661157024793
SMOTE,Decision Tree,0.8545454545454545,0.8538641069075851,0.9024793388429752
SMOTE,DBN,0.5,0.3333333333333333,0.5
Borderline-SMOTE,Gradient Boosting,0.9,0.8993326795248991,0.9322314049586776
Borderline-SMOTE,XGBoost,0.890909090909091,0.8902605921919424,0.9603305785123967
Borderline-SMOTE,Decision Tree,0.890909090909091,0.8723113118765292,0.9289256198347108
Borderline-SMOTE,DBN,0.5,0.3333333333333333,0.5
ADASYN,Gradient Boosting,0.9,0.8998306041784303,0.9685950413223139
ADASYN,XGBoost,0.9185770750988143,0.9183502729154902,0.9884297520661157
ADASYN,Decision Tree,0.8557312252964427,0.8725884044762765,0.9345041322314049
ADASYN,DBN,0.5043478260869565,0.3352380952380952,0.46363636363636357
